DateSpine,Q,SWEAvg,SWEMinus1,SWEMinus7,dSWE,precip,T,QMinus1,QMinus7
10/1/2004,683,0.44,,,,,7.691350311,,
10/2/2004,757,0.46,0.44,,,,8.802395775,683,
10/3/2004,1100,0.46,0.46,,,,9.525387315,757,
10/4/2004,1060,0.44,0.46,,,,9.270400322,1100,
10/5/2004,1030,0.42,0.44,,,,9.01836628,1060,
10/6/2004,902,0.44,0.42,,,,8.912205191,1030,
10/7/2004,787,0.52,0.44,,,,9.160903991,902,
10/8/2004,708,0.52,0.52,0.44,0.08,3.588931699,9.912344732,787,683
10/9/2004,673,0.5,0.52,0.46,0.04,1.19195233,10.91648056,708,757
10/10/2004,606,0.46,0.5,0.46,0,0.450436134,10.99567924,673,1100
10/11/2004,574,0.42,0.46,0.44,-0.02,0.313878709,8.875414742,606,1060
10/12/2004,559,0.42,0.42,0.42,0,0.313878709,7.041788486,574,1030
10/13/2004,543,0.42,0.42,0.44,-0.02,2.504117646,4.652554961,559,902
10/14/2004,496,0.42,0.42,0.52,-0.1,3.035544763,7.082119803,543,787
10/15/2004,508,0.42,0.42,0.52,-0.1,3.084667938,8.736259226,496,708
10/16/2004,516,0.42,0.42,0.5,-0.08,3.084667938,10.10895698,508,673
10/17/2004,503,0.42,0.42,0.46,-0.04,3.084667938,8.579450228,516,606
10/18/2004,511,0.42,0.42,0.42,0,3.104156934,3.828199309,503,574
10/19/2004,517,0.64,0.42,0.42,0.22,7.982764191,4.198457822,511,559
10/20/2004,520,0.8,0.64,0.42,0.38,10.16931997,8.278102667,517,543
10/21/2004,544,0.78,0.8,0.42,0.36,11.27391766,6.674939817,520,496
10/22/2004,567,0.8,0.78,0.42,0.38,15.96655566,2.056356806,544,508
10/23/2004,622,1.02,0.8,0.42,0.6,24.75601021,2.758750726,567,516
10/24/2004,813,1.04,1.02,0.42,0.62,26.80955862,2.163717606,622,503
10/25/2004,828,1.54,1.04,0.42,1.12,35.72282115,4.337576874,813,511
10/26/2004,741,1.54,1.54,0.64,0.9,33.42370667,6.046242669,828,517
10/27/2004,767,1.46,1.54,0.8,0.66,29.78230524,7.5791795,741,520
10/28/2004,754,1.44,1.46,0.78,0.66,30.92772217,4.45333824,767,544
10/29/2004,745,1.68,1.44,0.8,0.88,33.85133588,-0.540526525,754,567
10/30/2004,978,2.38,1.68,1.02,1.36,33.85993928,0.692084075,745,622
10/31/2004,908,2.36,2.38,1.04,1.32,32.82376436,-2.066609572,978,813
11/1/2004,830,3.02,2.36,1.54,1.48,29.96559435,-5.210584827,908,828
11/2/2004,809,2.94,3.02,1.54,1.4,27.38876148,-3.882115946,830,741
11/3/2004,772,3,2.94,1.46,1.54,27.28946671,1.35249319,809,767
11/4/2004,693,3.02,3,1.44,1.58,24.50484398,2.544026997,772,754
11/5/2004,611,3.04,3.02,1.68,1.36,16.8423847,4.142813187,693,745
11/6/2004,639,3.02,3.04,2.38,0.64,8.044326742,5.120754946,611,978
11/7/2004,647,3,3.02,2.36,0.64,7.026953264,6.078971655,639,908
11/8/2004,640,3,3,3.02,-0.02,1.021920125,7.358704928,647,830
11/9/2004,650,2.98,3,2.94,0.04,1.327904053,3.276018438,640,809
11/10/2004,656,3.06,2.98,3,0.06,4.042218573,3.120285095,650,772
11/11/2004,680,3.06,3.06,3.02,0.04,4.205889242,3.300131889,656,693
11/12/2004,743,3.18,3.06,3.04,0.14,5.262182216,4.080481851,680,611
11/13/2004,763,3.08,3.18,3.02,0.06,5.323996438,2.603689806,743,639
11/14/2004,765,3.02,3.08,3,0.02,5.323996438,1.457917822,763,647
11/15/2004,730,2.88,3.02,3,-0.12,5.254448062,1.722517247,765,640
11/16/2004,720,2.88,2.88,2.98,-0.1,4.945804225,2.76193745,730,650
11/17/2004,715,2.9,2.88,3.06,-0.16,1.285157322,2.577109074,720,656
11/18/2004,671,2.88,2.9,3.06,-0.18,1.121022799,-0.129483139,715,680
11/19/2004,717,2.88,2.88,3.18,-0.3,0.061814222,-1.208779528,671,743
11/20/2004,693,2.9,2.88,3.08,-0.18,1.013020333,-3.865926664,717,763
11/21/2004,670,3.08,2.9,3.02,0.06,4.610083706,-2.584838263,693,765
11/22/2004,655,3.14,3.08,2.88,0.26,4.610083706,-0.178554654,670,730
11/23/2004,653,3.12,3.14,2.88,0.24,4.610083706,-2.566970296,655,720
11/24/2004,654,3.22,3.12,2.9,0.32,4.711765924,-3.434793879,653,715
11/25/2004,641,3.46,3.22,2.88,0.58,6.744164774,0.323992048,654,671
11/26/2004,637,3.88,3.46,2.88,1,20.51918753,-3.13860906,641,717
11/27/2004,610,4.54,3.88,2.9,1.64,27.82176991,-6.528279221,637,693
11/28/2004,621,5.26,4.54,3.08,2.18,45.85764503,-7.568537101,610,670
11/29/2004,451,5.46,5.26,3.14,2.32,56.62728117,-12.79054402,621,655
11/30/2004,395,5.5,5.46,3.12,2.38,56.64033463,-13.02351436,451,653
12/1/2004,440,5.48,5.5,3.22,2.26,56.79070749,-11.3191411,395,654
12/2/2004,548,5.5,5.48,3.46,2.04,54.75830864,-11.36485737,440,641
12/3/2004,517,5.5,5.5,3.88,1.62,40.98328589,-9.088752132,548,637
12/4/2004,520,5.58,5.5,4.54,1.04,33.59151445,-5.626528937,517,610
12/5/2004,496,5.62,5.58,5.26,0.36,12.2184157,-4.866904535,520,621
12/6/2004,540,5.68,5.62,5.46,0.22,1.886346196,-6.141839311,496,451
12/7/2004,520,5.68,5.68,5.5,0.18,2.283113481,-5.862509785,540,395
12/8/2004,520,5.88,5.68,5.48,0.4,3.109407882,-3.369368486,520,440
12/9/2004,520,6.7,5.88,5.5,1.2,9.099897442,0.026842701,520,548
12/10/2004,540,7.82,6.7,5.5,2.32,14.271831,1.251013357,520,517
12/11/2004,560,7.8,7.82,5.58,2.22,13.34799972,2.320971611,540,520
12/12/2004,560,7.8,7.8,5.62,2.18,13.08815998,1.548178728,560,496
12/13/2004,560,7.86,7.8,5.68,2.18,12.65059335,-0.737547895,560,540
12/14/2004,540,7.8,7.86,5.68,2.12,12.2407726,-0.124036108,560,520
12/15/2004,540,7.8,7.8,5.88,1.92,11.16242312,-2.615634185,540,520
12/16/2004,520,7.94,7.8,6.7,1.24,5.681410196,-5.284997099,540,520
12/17/2004,500,7.88,7.94,7.82,0.06,0.509476636,-4.885003978,520,540
12/18/2004,500,7.92,7.88,7.8,0.12,0.509476636,-3.85950174,500,560
12/19/2004,500,7.94,7.92,7.8,0.14,0.509476636,-1.887378406,500,560
12/20/2004,520,8,7.94,7.86,0.14,0.509476636,-2.996303766,500,560
12/21/2004,530,7.92,8,7.8,0.12,0.509476636,-8.408837003,520,540
12/22/2004,530,7.86,7.92,7.8,0.06,0.509476636,-11.56415656,530,540
12/23/2004,520,7.84,7.86,7.94,-0.1,0.236251761,-16.16582334,530,520
12/24/2004,520,7.82,7.84,7.88,-0.06,0.236251761,-11.43540931,520,500
12/25/2004,500,7.88,7.82,7.92,-0.04,1.51873673,-4.335485821,520,500
12/26/2004,510,7.88,7.88,7.94,-0.06,1.905492919,-1.470044612,500,500
12/27/2004,520,7.94,7.88,8,-0.06,2.52786069,-0.355641292,510,520
12/28/2004,530,8,7.94,7.92,0.08,2.527970432,0.469001898,520,530
12/29/2004,540,8,8,7.86,0.14,2.903436491,0.17121119,530,530
12/30/2004,540,8.7,8,7.84,0.86,11.22335173,-0.844921087,540,520
12/31/2004,540,8.7,8.7,7.82,0.88,12.15447935,0,540,520
1/1/2005,520,8.8,8.7,7.88,0.92,10.87199438,-2.892990654,540,500
1/2/2005,500,8.9,8.8,7.88,1.02,12.71112551,-2.789325727,520,510
1/3/2005,490,8.94,8.9,7.94,1,12.29402361,-1.752179454,500,520
1/4/2005,500,9.1,8.94,8,1.1,13.4096396,-3.908371715,490,530
1/5/2005,490,9.24,9.1,8,1.24,16.61833591,-10.88604277,500,540
1/6/2005,480,9.48,9.24,8.7,0.78,13.9306333,-8.560321951,490,540
1/7/2005,470,9.86,9.48,8.7,1.16,16.94414316,-9.739538453,480,540
1/8/2005,470,10.1,9.86,8.8,1.3,18.5209143,-2.791192111,470,520
1/9/2005,480,10.28,10.1,8.9,1.38,19.0670193,1.465798807,470,500
1/10/2005,480,10.54,10.28,8.94,1.6,25.80561745,1.720322995,480,490
